epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
104,92.9601,0.2366,0.82432,0.93243,0.90511,0.000471311,0.000471311,0.000471311
105,93.8194,0.22372,0.82432,1,0.88379,0.000468955,0.000468955,0.000468955
106,94.6828,0.1807,0.83784,1,0.95817,0.000466599,0.000466599,0.000466599
107,95.5514,0.18062,0.85135,1,1.04753,0.000464243,0.000464243,0.000464243
108,96.427,0.19296,0.7973,0.93243,1.21615,0.000461887,0.000461887,0.000461887
109,97.2507,0.15879,0.7973,0.93243,1.27148,0.00045953,0.00045953,0.00045953
110,98.0322,0.18103,0.80405,0.93243,1.03849,0.000457174,0.000457174,0.000457174
111,98.9296,0.15309,0.77703,0.93243,1.04281,0.000454818,0.000454818,0.000454818
112,99.8098,0.1971,0.80405,1,1.29118,0.000452462,0.000452462,0.000452462
113,100.709,0.15598,0.73649,0.97297,0.95231,0.000450106,0.000450106,0.000450106
114,101.557,0.18122,0.7973,1,0.87744,0.000447749,0.000447749,0.000447749
115,102.448,0.25199,0.82432,1,0.59928,0.000445393,0.000445393,0.000445393
116,103.327,0.23524,0.79054,1,0.6416,0.000443037,0.000443037,0.000443037
117,104.207,0.18763,0.7973,1,0.80713,0.000440681,0.000440681,0.000440681
118,105.086,0.21056,0.7973,1,1.14193,0.000438325,0.000438325,0.000438325
119,105.985,0.15424,0.77027,1,1.12109,0.000435968,0.000435968,0.000435968
120,106.812,0.22267,0.77027,1,1.13753,0.000433612,0.000433612,0.000433612
121,107.663,0.20425,0.78378,1,0.87109,0.000431256,0.000431256,0.000431256
122,108.605,0.1745,0.83784,0.93243,0.93298,0.0004289,0.0004289,0.0004289
123,109.441,0.20269,0.83784,0.93243,1.29883,0.000426544,0.000426544,0.000426544
124,110.263,0.17755,0.79054,0.93243,1.05778,0.000424187,0.000424187,0.000424187
125,111.091,0.18467,0.7973,0.93243,0.69499,0.000421831,0.000421831,0.000421831
126,111.966,0.208,0.84459,0.93243,0.83382,0.000419475,0.000419475,0.000419475
127,112.864,0.198,0.81757,0.93243,0.85986,0.000417119,0.000417119,0.000417119
128,113.745,0.26584,0.81757,0.93243,1.07764,0.000414763,0.000414763,0.000414763
129,114.63,0.23426,0.78378,0.93243,0.73519,0.000412406,0.000412406,0.000412406
130,115.507,0.19907,0.83784,1,0.52205,0.00041005,0.00041005,0.00041005
131,116.358,0.19535,0.81081,1,0.45158,0.000407694,0.000407694,0.000407694
132,117.18,0.20346,0.79054,1,0.63672,0.000405338,0.000405338,0.000405338
133,118.042,0.16471,0.74324,1,0.99479,0.000402982,0.000402982,0.000402982
134,118.915,0.17678,0.82432,1,1.05843,0.000400625,0.000400625,0.000400625
135,119.779,0.15069,0.80405,1,1.02848,0.000398269,0.000398269,0.000398269
136,120.643,0.19854,0.77027,1,1.0887,0.000395913,0.000395913,0.000395913
137,121.509,0.19282,0.81081,1,0.89697,0.000393557,0.000393557,0.000393557
138,122.328,0.19499,0.81081,1,0.8623,0.000391201,0.000391201,0.000391201
139,123.223,0.14721,0.83784,1,0.70638,0.000388844,0.000388844,0.000388844
140,124.115,0.17613,0.82432,1,0.56665,0.000386488,0.000386488,0.000386488
141,124.957,0.14999,0.83784,1,0.70003,0.000384132,0.000384132,0.000384132
142,125.843,0.15123,0.7973,0.93243,0.89193,0.000381776,0.000381776,0.000381776
143,126.65,0.14772,0.7973,0.93243,1.00195,0.00037942,0.00037942,0.00037942
144,127.508,0.16889,0.79054,0.93243,0.76969,0.000377063,0.000377063,0.000377063
145,128.365,0.20518,0.82432,0.93243,0.72461,0.000374707,0.000374707,0.000374707
146,129.22,0.17163,0.82432,0.93243,0.72493,0.000372351,0.000372351,0.000372351
147,130.099,0.16586,0.78378,1,0.86157,0.000369995,0.000369995,0.000369995
148,130.955,0.19672,0.78378,0.93243,0.85596,0.000367639,0.000367639,0.000367639
149,131.811,0.18652,0.79054,1,1.14958,0.000365282,0.000365282,0.000365282
150,132.678,0.18611,0.82432,1,0.91797,0.000362926,0.000362926,0.000362926
151,133.609,0.13939,0.78378,1,0.98698,0.00036057,0.00036057,0.00036057
152,134.6,0.16309,0.7973,1,0.70744,0.000358214,0.000358214,0.000358214
153,135.393,0.15837,0.77027,1,0.82007,0.000355858,0.000355858,0.000355858
154,136.273,0.17167,0.83784,0.93243,0.76644,0.000353501,0.000353501,0.000353501
155,137.066,0.16469,0.81081,0.93243,0.87817,0.000351145,0.000351145,0.000351145
156,137.964,0.16544,0.81081,0.93243,0.82231,0.000348789,0.000348789,0.000348789
157,138.854,0.15677,0.81757,0.93243,0.98551,0.000346433,0.000346433,0.000346433
158,139.714,0.16463,0.85135,0.93243,0.89111,0.000344077,0.000344077,0.000344077
159,140.578,0.15805,0.81081,1,0.69954,0.00034172,0.00034172,0.00034172
160,141.439,0.16467,0.85135,1,0.73535,0.000339364,0.000339364,0.000339364
161,142.318,0.19795,0.85135,1,0.87581,0.000337008,0.000337008,0.000337008
162,143.135,0.14377,0.85135,1,0.91911,0.000334652,0.000334652,0.000334652
163,144.023,0.13979,0.83108,1,0.76774,0.000332296,0.000332296,0.000332296
164,144.863,0.17674,0.79054,1,0.87061,0.000329939,0.000329939,0.000329939
165,145.655,0.17064,0.82432,1,1.13688,0.000327583,0.000327583,0.000327583
